,Unnamed: 0,Survived,Age,Fare,Sex,Pclass,SibSp,Parch,Embarked
0,0,0,-0.5723083624193249,7.25,male,3,1,0,S
1,1,1,0.6182521340369286,71.2833,female,1,1,0,C
2,2,1,-0.2746682383052615,7.925,female,3,0,0,S
3,3,1,0.3950220409513811,53.1,female,1,1,0,S
4,4,0,0.3950220409513811,8.05,male,3,0,0,S
5,5,0,-0.4270015168272827,8.4583,male,3,0,0,Q
6,6,0,1.8088126304931822,51.8625,male,1,0,0,S
7,7,0,-2.0605089829896417,21.075,male,3,3,1,S
8,8,1,-0.20025820727674565,11.1333,female,3,0,2,S
9,9,1,-1.1675886106474516,30.0708,female,2,1,0,C
10,10,1,-1.91168892093261,16.7,female,3,1,1,S
11,11,1,2.1064527546072456,26.55,female,1,0,0,S
12,12,0,-0.7211284244763566,8.05,male,3,0,0,S
13,13,0,0.6926621650654444,31.275,male,3,1,5,S
14,14,0,-1.1675886106474516,7.8542,female,3,0,0,S
15,15,1,1.883222661521698,16.0,female,2,0,0,S
16,16,0,-2.0605089829896417,29.125,male,3,4,1,Q
17,17,1,0.17272673724010873,13.0,male,2,0,0,S
18,18,0,0.09738191683731773,18.0,female,3,1,0,S
19,19,1,-0.027429555435555135,7.225,female,3,0,0,C
20,20,0,0.3950220409513811,26.0,male,2,0,0,S
21,21,1,0.32061200992286526,13.0,male,2,0,0,S
22,22,1,-1.0931785796189357,8.0292,female,3,0,0,Q
23,23,1,-0.1258481762482298,35.5,male,1,0,0,S
24,24,0,-1.6140487968185466,21.075,female,3,3,1,S
25,25,1,0.6182521340369286,31.3875,female,3,1,5,S
26,26,0,-0.027429555435555135,7.225,male,3,0,0,C
27,27,0,-0.7955384555048725,263.0,male,1,3,2,S
28,28,1,-0.5351861236142255,7.8792,female,3,0,0,Q
29,29,0,-0.14917221538851916,7.8958,male,3,0,0,S
30,30,0,0.7670721960939603,27.7208,male,1,0,0,C
31,31,1,0.4621498102765738,146.5208,female,1,1,0,C
32,32,1,0.3936453374693172,7.75,female,3,0,0,Q
33,33,0,2.7017330028353723,10.5,male,2,0,0,S
34,34,0,-0.1258481762482298,82.1708,male,1,1,0,C
35,35,0,0.915892258150992,52.0,male,1,1,0,S
36,36,1,-0.5071588503407715,7.2292,male,3,0,0,C
37,37,0,-0.6467183934478408,8.05,male,3,0,0,S
38,38,0,-0.8699484865333883,18.0,female,3,2,0,S
39,39,1,-1.1675886106474516,11.2417,female,3,1,0,C
40,40,0,0.7670721960939603,9.475,female,3,1,0,S
41,41,0,-0.20025820727674565,21.0,female,2,1,0,S
42,42,0,-0.14917221538851916,7.8958,male,3,0,0,C
43,43,1,-1.9860989519611258,41.5792,female,2,1,2,C
44,44,1,-0.7955384555048725,7.8792,female,3,0,0,Q
45,45,0,0.06348112587839855,8.05,male,3,0,0,S
46,46,0,0.3022575356024978,15.5,male,3,1,0,Q
47,47,1,0.3936453374693172,7.75,female,3,0,0,Q
48,48,0,-0.435269888608475,21.6792,male,3,2,0,C
49,49,0,-0.8699484865333883,17.8,female,3,1,0,S
50,50,0,-1.6884588278470625,39.6875,male,3,4,1,S
51,51,0,-0.6467183934478408,7.8,male,3,0,0,S
52,52,1,1.436762475350603,76.7292,female,1,1,0,C
53,53,1,-0.05143814521971396,26.0,female,2,1,0,S
54,54,0,2.6273229718068563,61.9792,male,1,0,1,C
55,55,1,1.0120199787912028,35.5,male,1,0,0,S
56,56,1,-0.6467183934478408,10.5,female,2,0,0,S
57,57,0,-0.08864316073397188,7.2292,male,3,0,0,C
58,58,1,-1.8372788899040942,27.75,female,2,1,2,S
59,59,0,-1.390818703732999,46.9,male,3,5,2,S
60,60,0,-0.5723083624193249,7.2292,male,3,0,0,C
61,61,1,0.6182521340369286,80.0,female,1,0,0,S
62,62,0,1.1391223512365396,83.475,male,1,1,0,S
63,63,0,-1.91168892093261,27.9,male,3,3,2,S
64,64,0,0.826771589473081,27.7208,male,1,0,0,C
65,65,1,-0.8434089087998841,15.2458,male,3,1,1,C
66,66,1,-0.05143814521971396,10.5,female,2,0,0,S
67,67,0,-0.7955384555048725,8.1583,male,3,0,0,S
68,68,1,-0.9443585175619041,7.925,female,3,4,2,S
69,69,0,-0.2746682383052615,8.6625,male,3,2,0,S
70,70,0,0.17179194786583357,10.5,male,2,0,0,S
71,71,0,-1.0187685485904199,46.9,female,3,5,2,S
72,72,0,-0.6467183934478408,73.5,male,2,0,0,S
73,73,0,-0.2746682383052615,14.4542,male,3,1,0,C
74,74,1,0.17179194786583357,56.4958,male,3,0,0,S
75,75,0,-0.34907826933377734,7.65,male,3,0,0,S
76,76,0,-0.14917221538851916,7.8958,male,3,0,0,S
77,77,0,0.06348112587839855,8.05,male,3,0,0,S
78,79,1,0.02297188580880188,12.475,female,3,0,0,S
79,80,0,-0.5723083624193249,9.0,male,3,0,0,S
80,81,1,-0.05143814521971396,9.5,male,3,0,0,S
81,82,1,-0.4902172941979658,7.7875,female,3,0,0,Q
82,83,0,-0.1258481762482298,47.1,male,1,0,0,S
83,84,1,-0.9443585175619041,10.5,female,2,0,0,S
84,85,1,0.24620197889434942,15.85,female,3,3,0,S
85,86,0,-1.0187685485904199,34.375,male,3,1,3,S
86,87,0,0.06348112587839855,8.05,male,3,0,0,S
87,88,1,-0.497898331390809,263.0,female,1,3,2,S
88,89,0,-0.4234883003622932,8.05,male,3,0,0,S
89,90,0,-0.05143814521971396,8.05,male,3,0,0,S
90,91,0,-0.7211284244763566,7.8542,male,3,0,0,S
91,92,0,1.2135323822650554,61.175,male,1,1,0,S
92,93,0,-0.2746682383052615,20.575,male,3,1,2,S
93,94,0,2.180862785635761,7.25,male,3,0,0,S
94,95,0,0.06348112587839855,8.05,male,3,0,0,S
95,96,0,3.0737831579779513,34.6542,male,1,0,0,C
96,97,1,-0.497898331390809,63.3583,male,1,0,1,C
97,98,1,0.32061200992286526,23.0,female,2,0,1,S
98,99,0,0.32061200992286526,26.0,male,2,1,0,S
99,100,0,-0.1258481762482298,7.8958,female,3,0,0,S
100,101,0,-0.14917221538851916,7.8958,male,3,0,0,S
101,102,0,-0.6467183934478408,77.2875,male,1,0,1,S
102,103,0,0.24620197889434942,8.6542,male,3,0,0,S
103,104,0,0.5438421030084127,7.925,male,3,2,0,S
104,105,0,-0.1258481762482298,7.8958,male,3,0,0,S
105,106,1,-0.6467183934478408,7.65,female,3,0,0,S
106,107,1,-0.12970603124188612,7.775,male,3,0,0,S
107,108,0,0.6182521340369286,7.8958,male,3,0,0,S
108,109,1,0.22000964797231207,24.15,female,3,1,0,Q
109,110,0,1.2879424132935713,52.0,male,1,0,0,S
110,111,0,-1.1303835951331938,14.4542,female,3,1,0,C
111,112,0,-0.5723083624193249,8.05,male,3,0,0,S
112,113,0,-0.7211284244763566,9.825,female,3,1,0,S
