,Unnamed: 0.1,Unnamed: 0,Survived,Age,Fare,SibSp,Parch,male,female,Pclass_1,Pclass_2,Pclass_3,Embarked_S,Embarked_C,Embarked_Q
0,0,0,0,-0.5723083624193249,7.25,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,1,1,0.6182521340369286,71.2833,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,2,2,1,-0.2746682383052615,7.925,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,3,3,1,0.3950220409513811,53.1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,4,4,0,0.3950220409513811,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,5,5,0,-0.4270015168272827,8.4583,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,6,6,0,1.8088126304931824,51.8625,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,7,7,0,-2.0605089829896417,21.075,3,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,8,8,1,-0.2002582072767456,11.1333,0,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
9,9,9,1,-1.1675886106474516,30.0708,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
10,10,10,1,-1.91168892093261,16.7,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
11,11,11,1,2.1064527546072456,26.55,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12,12,12,0,-0.7211284244763566,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,13,13,0,0.6926621650654444,31.275,1,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,14,14,0,-1.1675886106474516,7.8542,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
15,15,15,1,1.883222661521698,16.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,16,16,0,-2.0605089829896417,29.125,4,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,17,17,1,0.1727267372401087,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,18,18,0,0.0973819168373177,18.0,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
19,19,19,1,-0.0274295554355551,7.225,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20,20,20,0,0.3950220409513811,26.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,21,21,1,0.3206120099228652,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,22,22,1,-1.0931785796189355,8.0292,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,23,23,1,-0.1258481762482298,35.5,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
